name,test_score,phone_duration (sec),attention_label
Emma Johnson,89,3,Attentive
Liam Smith,87,6,Attentive
Olivia Brown,86,9,Attentive
Noah Davis,84,12,Attentive
Ava Wilson,83,15,Attentive
William Martinez,81,18,Attentive
Sophia Anderson,80,21,Attentive
Mason Thomas,78,24,Attentive
Isabella Jackson,77,27,Attentive
James White,75,30,Attentive
Charlotte Harris,69,33,Distracted
Benjamin Martin,68,36,Distracted
Amelia Thompson,67,39,Distracted
Elijah Garcia,66,42,Distracted
Mia Martinez,65,45,Distracted
Alexander Robinson,64,48,Distracted
Harper Clark,63,51,Distracted
Michael Rodriguez,62,54,Distracted
Evelyn Lewis,61,57,Distracted
Ethan Walker,50,300,Distracted
Abigail Hall,90,2,Attentive
Daniel Allen,88,5,Attentive
Emily Young,86,8,Attentive
Matthew Wright,85,11,Attentive
Elizabeth King,83,14,Attentive
David Lopez,82,17,Attentive
Sofia Scott,80,20,Attentive
Joseph Green,79,23,Attentive
Avery Adams,77,26,Attentive
Christopher Baker,75,29,Attentive
Madison Nelson,69,32,Distracted
Andrew Carter,68,35,Distracted
Scarlett Mitchell,67,38,Distracted
Logan Perez,66,41,Distracted
Chloe Roberts,65,44,Distracted
Samuel Phillips,64,47,Distracted
Zoey Campbell,63,50,Distracted
John Parker,62,53,Distracted
Grace Evans,61,56,Distracted
Jayden Torres,48,350,Distracted
Lily Collins,90,1,Attentive
Ryan Edwards,88,4,Attentive
Hannah Stewart,87,7,Attentive
Joshua Sanchez,85,10,Attentive
Nora Morris,84,13,Attentive
Tyler Rogers,82,16,Attentive
Audrey Reed,81,19,Attentive
Brandon Cook,80,22,Attentive
Claire Morgan,78,25,Attentive
Gabriel Bell,76,28,Attentive
Skylar Murphy,70,31,Distracted
Dylan Rivera,69,34,Distracted
Bella Cooper,68,37,Distracted
Luke Ramirez,67,40,Distracted
Stella Peterson,66,43,Distracted
Nathan Bailey,65,46,Distracted
Leah Reed,64,49,Distracted
Caleb Kelly,63,52,Distracted
Savannah Howard,62,55,Distracted
Jack Cox,45,400,Distracted
Violet Diaz,90,0,Attentive
Adam Richardson,89,3,Attentive
Penelope Brooks,87,6,Attentive
Carter Watson,85,9,Attentive
Aubrey Price,84,12,Attentive
Austin Barnes,82,15,Attentive
Layla Henderson,81,18,Attentive
Miles Jenkins,80,21,Attentive
Paisley Coleman,78,24,Attentive
Oscar Perry,77,27,Attentive
Kennedy Howard,75,30,Attentive
Landon Powell,69,33,Distracted
Eva Long,68,36,Distracted
Jonathan Foster,67,39,Distracted
Quinn Collins,66,42,Distracted
Cooper Russell,65,45,Distracted
Ruby Washington,64,48,Distracted
Ezra Butler,63,51,Distracted
Lydia Simmons,62,54,Distracted
Dominic Griffin,42,450,Distracted
Naomi Bryant,60,61,Distracted
Grayson Hayes,90,2,Attentive
Maya Price,88,5,Attentive
Lincoln Hughes,86,8,Attentive
Ella Fisher,85,11,Attentive
Leo Jordan,83,14,Attentive
Lillian Reynolds,82,17,Attentive
Julian Graham,80,20,Attentive
Brooklyn Sullivan,79,23,Attentive
Ian Fowler,77,26,Attentive
Lucy Harrison,75,29,Attentive
Theodore Stone,69,32,Distracted
Madelyn Hunt,68,35,Distracted
Brayden Fox,67,38,Distracted
Zoe Marshall,66,41,Distracted
Zachary Daniels,65,44,Distracted
Gianna Medina,64,47,Distracted
Aaron Stephens,63,50,Distracted
Eleanor Gutierrez,62,53,Distracted
Cameron Castro,30,500,Distracted 
